C,Sex,Speaking,morph,lex,L1
Moldova,Male,516,0.0276,0.41365,1
Mongolia,Female,501.6666666666667,0.13026666666666667,0.52808600000000006,1
Mongolia,Male,509,0.172,0.595079,1
Morocco,Female,506.2093023255814,0.06447441860465115,0.590497976744186,1
Morocco,Male,494.3833333333333,0.06606458333333333,0.5924509333333333,1
Mozambique,Male,497,0.0586,0.4087,1
Netherlands,Female,525.547619047619,0.04246428571428571,0.480592380952381,1
NewZealand,Female,583.5,0.0094,0.083191,1
NewZealand,Male,514.6666666666666,0.0094,0.083191,1
Nicaragua,Female,494.6666666666667,0.0193,0.398649,1
Nigeria,Female,484.6666666666667,0.07833333333333334,0.2538203333333333,1
Nigeria,Male,501.2352941176471,0.23265882352941178,0.4746347647058824,1
Norway,Female,560.8947368421053,-0.0076,0.1598,1
Norway,Male,547.8571428571429,-0.0076,0.1598,1
Peru,Female,506.17857142857144,0.0193,0.398649,1
Peru,Male,521,0.0193,0.398649,1
Philippines,Female,497.09090909090907,0.23832727272727272,0.5824027727272727,1
Philippines,Male,533.25,0.2423,0.595079,1
Poland,Female,525.0755555555555,0.047732,0.38892433333333337,1
Poland,Male,527,0.0479,0.388004,1
Portugal,Female,523.2592592592592,0.05879259259259259,0.4081927777777778,1
Portugal,Male,525,0.0586,0.4087,1
Romania,Female,523.2636363636364,0.024876363636363637,0.4341769090909091,1
Romania,Male,514.7,0.0241,0.4499358,1
Russia,Female,528.28,0.04434133333333334,0.38257845333333335,1
Russia,Male,512.75,0.048925,0.42095750000000004,1
Rwanda,Female,487.2,0.0554,0.5667054,1
Rwanda,Male,487,0.0623,0.595079,1
SaudiArabia,Male,411,0.0638,0.595079,1
Senegal,Female,489,0.1271,0.595079,1
Senegal,Male,492.5,0.0128,0.398095,1
SerbiaandMontenegro,Female,528.75,0.0638,0.395005,1
SerbiaandMontenegro,Male,399,0.0638,0.395005,1
SierraLeone,Male,494.6,0.10356,0.4927014,1
Singapore,Female,544.2,0.16932,0.3903238,1
Singapore,Male,513.25,0.0094,0.083191,1
Somalia,Female,497.1,0.042,0.595079,1
Somalia,Male,474.16279069767444,0.042472093023255816,0.595079,1
Spain,Female,526.0142857142857,0.018497142857142858,0.38410854285714285,1
Spain,Male,500,0.0193,0.39811583333333334,1
Sudan,Female,521,0.0638,0.595079,1
Sudan,Male,483.24,0.0638,0.595079,1
Sweden,Female,560.9473684210526,0,0.100457,1
Sweden,Male,528,0.0234875,0.273725,1
Switzerland,Female,569.9166666666666,-0.006500000000000001,0.12206604166666667,1
Switzerland,Male,554.4,-0.01112,0.10947899999999999,1
Syria,Female,527.7894736842105,0.05632631578947368,0.5561363684210526,1
Syria,Male,501.6190476190476,0.05725238095238095,0.5176268571428572,1
